,0,1,2,3,value,trend,noise
49,0.0,0.0,50.0,50.0,8.407090327833387,-0.9153653036181819,
50,0.0,0.0,51.0,49.0,1.1014421599243045,-0.582432025759251,
51,0.0,0.0,52.0,48.0,0.4676396509185452,-0.3873966838491837,
52,0.0,0.0,53.0,47.0,0.46990868858616563,-0.40494034643399335,
53,0.0,0.0,54.0,46.0,0.5712585795107181,-0.4628568975169931,
54,0.0,0.0,55.0,45.0,0.4648294547740135,-0.429430665160385,
55,0.0,0.0,56.0,44.0,0.6919119680848747,-0.5397239550919497,
56,0.0,0.0,57.0,43.0,0.6300824637357889,-0.5338095671657752,
57,0.0,0.0,58.0,42.0,0.49108549408734214,-0.49126050894778406,
58,0.0,0.0,59.0,41.0,0.36687963767489307,-0.43993457299522765,
59,0.0,0.0,60.0,40.0,0.36069602511696464,-0.4502588401252561,
60,0.0,0.0,61.0,39.0,0.3333196989309235,-0.4436034123113908,
61,0.0,0.0,62.0,38.0,0.2844762421306539,-0.4252909718159382,
62,0.0,0.0,63.0,37.0,0.25873878925019733,-0.4195779290308119,
63,0.0,0.0,64.0,36.0,0.2144914070155841,-0.3922537773095356,
64,0.0,0.0,65.0,35.0,0.2470164936200543,-0.4351945653956184,
65,0.0,0.0,66.0,34.0,0.21316579946486258,-0.41721554383555093,
66,0.0,0.0,67.0,33.0,0.1975700561480389,-0.4111538549196412,
67,0.0,0.0,68.0,32.0,0.19747560155531896,-0.4264188659936953,
68,0.0,0.0,69.0,31.0,0.19182770724089537,-0.4332726965695042,
69,0.0,0.0,70.0,30.0,0.18728865928252114,-0.44257284125958174,
70,0.0,0.0,71.0,29.0,0.15754601376977373,-0.4224536394521178,
71,0.0,0.0,72.0,28.0,0.16037015077068784,-0.4445995442646663,
72,0.0,0.0,73.0,27.0,0.1510036058881481,-0.4439166857516711,
73,0.0,0.0,74.0,26.0,0.1448822295940504,-0.44883933694119926,
74,0.0,0.0,75.0,25.0,0.1268667192500641,-0.44055550129818877,
75,0.0,0.0,76.0,24.0,0.11829232237941212,-0.4478108064840087,
76,0.0,0.0,77.0,23.0,0.11071040360942663,-0.44790250981742263,
77,0.0,0.0,78.0,22.0,0.09888120409581025,-0.4448620989496129,
78,0.0,0.0,79.0,21.0,0.08740153082025337,-0.43795809634513305,
79,0.0,0.0,80.0,20.0,0.07804319661796466,-0.44141824301594734,
80,0.0,0.0,81.0,19.0,0.07741109918955114,-0.45852778744089784,
81,0.0,0.0,82.0,18.0,0.06681409020333962,-0.4539636721355803,
82,0.0,0.0,83.0,17.0,0.06059943516256827,-0.46063065990796037,
83,0.0,0.0,84.0,16.0,0.042833291842412136,-0.43490565847574436,
84,0.0,0.0,85.0,15.0,0.0348219880493128,-0.4384085388071579,
85,0.0,0.0,86.0,14.0,0.03628366051742926,-0.45627329873008304,
86,0.0,0.0,87.0,13.0,0.02628727044830681,-0.4548455638134056,
87,0.0,0.0,88.0,12.0,0.016062156676368122,-0.4366679450323375,
88,0.0,0.0,89.0,11.0,0.013182061565270908,-0.4472866305895804,
89,0.0,0.0,90.0,10.0,0.006310996037373284,-0.4632188282454719,
90,0.0,0.0,91.0,9.0,0.0008769660980563199,-0.45729772955881554,
91,0.0,0.0,92.0,8.0,-0.007624451496140883,-0.4553061661675214,
92,0.0,0.0,93.0,7.0,-0.012596353088679901,-0.4614344256239482,
93,0.0,0.0,94.0,6.0,-0.01939291918567021,-0.4472647720794709,
94,0.0,0.0,95.0,5.0,-0.023512189310677667,-0.47883858148647884,
95,0.0,0.0,96.0,4.0,-0.03150015886870028,-0.4452261768011131,
96,0.0,0.0,97.0,3.0,-0.03682456630821984,-0.45308424797042857,
97,0.0,0.0,98.0,2.0,-0.043215271250131915,-0.4530540308219816,
98,0.0,0.0,99.0,1.0,-0.047854207456782816,-0.4526347933873003,
99,0.0,1.0,0.0,99.0,,-0.9894162013798351,87.32814382416147
100,0.0,1.0,1.0,98.0,117.40358006251918,-0.9924855356798735,121.94706677122396
101,0.0,1.0,2.0,97.0,117.4370715055801,-0.9924742687759551,121.75538044156984
102,0.0,1.0,3.0,96.0,117.75960810680982,-0.9924645000094887,121.58742190055823
103,0.0,1.0,4.0,95.0,117.29627517091704,-0.9924461208887181,121.55651308948862
104,0.0,1.0,5.0,94.0,117.05086883487773,-0.9924310226313088,121.45712109256182
105,0.0,1.0,6.0,93.0,117.00706438472878,-0.9924144770329272,121.00476685145365
106,0.0,1.0,7.0,92.0,117.03124739186897,-0.9923994346547519,120.75802702894086
107,0.0,1.0,8.0,91.0,116.71721660538341,-0.9923795355872791,120.70664894809181
108,0.0,1.0,9.0,90.0,116.36528374541612,-0.9923569893676922,120.34733930858876
109,0.0,1.0,10.0,89.0,115.95647208513877,-0.9923238003868433,119.82925848660014
110,0.0,1.0,11.0,88.0,115.5296359961789,-0.9922957503932439,119.39260618937443
111,0.0,1.0,12.0,87.0,115.40786399273036,-0.9922705769501274,118.83541752539041
112,0.0,1.0,13.0,86.0,115.58980886288111,-0.9922512255999413,118.75424914852266
113,0.0,1.0,14.0,85.0,114.91176008301395,-0.9922015780887269,118.00752272111278
114,0.0,1.0,15.0,84.0,114.7038446675658,-0.9921699078536406,117.53057340158088
115,0.0,1.0,16.0,83.0,114.0766631476595,-0.9921266596626237,116.88846461854308
116,0.0,1.0,17.0,82.0,113.7095658485,-0.9920863174258234,116.29531420083981
117,0.0,1.0,18.0,81.0,112.82409575555435,-0.9920165386890817,115.29641612129522
118,0.0,1.0,19.0,80.0,112.01436397296654,-0.9919581916708283,114.6850548627042
119,0.0,1.0,20.0,79.0,111.12947853763976,-0.9918933625597459,113.78059533489578
120,0.0,1.0,21.0,78.0,110.55327180444044,-0.9918321212128853,112.93624091555459
121,0.0,1.0,22.0,77.0,109.51059002215591,-0.9917532063860401,111.80625071082093
122,0.0,1.0,23.0,76.0,107.76932963267721,-0.9916293647178517,110.18932615282763
123,0.0,1.0,24.0,75.0,106.828750018333,-0.9915383740781469,108.75987527537536
124,0.0,1.0,25.0,74.0,105.4738245464031,-0.9914277539000556,107.38158508091024
125,0.0,1.0,26.0,73.0,103.99674329189713,-0.9913037699730042,105.87951354225432
126,0.0,1.0,27.0,72.0,102.40020642814653,-0.9911410481663478,104.2396081816025
127,0.0,1.0,28.0,71.0,100.63561992910965,-0.9909826064031187,102.56772406492358
128,0.0,1.0,29.0,70.0,98.69471132742513,-0.9908015324197024,100.5663037903522
129,0.0,1.0,30.0,69.0,96.56386623887,-0.9905945477858448,98.39928266084107
