,0,1,2,3,passive,noise,value,trend
74,0.0,0.0,75.0,25.0,,,0.0011750264169407831,-0.003516879544623097
75,0.0,0.0,76.0,24.0,,,0.0011400780601056315,-0.003601760505561047
76,0.0,0.0,77.0,23.0,,,0.001110319672629645,-0.003708278147147026
77,0.0,0.0,78.0,22.0,,,0.0010739391125487163,-0.0037984064982325982
78,0.0,0.0,79.0,21.0,,,0.0010358338986271587,-0.00388720009578436
79,0.0,0.0,80.0,20.0,,,0.0009871042721341095,-0.0039387767785575845
80,0.0,0.0,81.0,19.0,,,0.0009356997083080909,-0.0039793181517926435
81,0.0,0.0,82.0,18.0,,,0.0008887445605945121,-0.004038837766425107
82,0.0,0.0,83.0,17.0,,,0.0008358474983209963,-0.004070978749633025
83,0.0,0.0,84.0,16.0,,,0.0007905807892911731,-0.004140406838593846
84,0.0,0.0,85.0,15.0,,,0.0007345734571495566,-0.004152502390009305
85,0.0,0.0,86.0,14.0,,,0.0006846125814532478,-0.0041953078802475785
86,0.0,0.0,87.0,13.0,,,0.0006429026638117286,-0.004291981865106265
87,0.0,0.0,88.0,12.0,,,0.0005976343260505335,-0.004371860656977478
88,0.0,0.0,89.0,11.0,,,0.0005518184473012333,-0.004453640768128708
89,0.0,0.0,90.0,10.0,,,0.0005010466813308856,-0.00449825155617023
90,0.0,0.0,91.0,9.0,,,0.00045018802960505866,-0.004540646727704489
91,0.0,0.0,92.0,8.0,,,0.00039948437173942253,-0.004582731153791819
92,0.0,0.0,93.0,7.0,,,0.00035110063450782825,-0.004653059690048145
93,0.0,0.0,94.0,6.0,,,0.0003012861879752027,-0.0047084377327993865
94,0.0,0.0,95.0,5.0,,,0.00024962411641915594,-0.004731157954371845
95,0.0,0.0,96.0,4.0,,,0.00019883911783025177,-0.004760417997246136
96,0.0,0.0,97.0,3.0,,,0.00014831797894943044,-0.004783901155420156
97,0.0,0.0,98.0,2.0,,,9.906692656813654e-05,-0.004842400706120076
98,0.0,0.0,99.0,1.0,,,4.922837025334026e-05,-0.004861757477331863
99,0.0,1.0,0.0,99.0,,-0.002009054046048897,,2.031379796552102e-05
100,0.0,1.0,1.0,98.0,,-0.002857646100641986,-0.0028822630256573056,5.865548693750888e-05
101,0.0,1.0,2.0,97.0,,-0.003216114100534795,-0.0032512338354586667,0.00010035755861581563
